Prozessschritt,Hersteller,Beschreibung,Leistung,Einheit,Durchsatzleistung,Einheit2,Emissionen,Einheit3,Strommix Deutschland,Einheit42,Andere Betriebsmittel,Über-Kategorie,Unter-Kategorie,Kunststoffe,Kommentare,Quellen,,,
Einwellenzerkleinerer (75 kW),ZERMA,ZERMA ZHS,75,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/einwellen-shredder-einwellen-zerkleinerer-zerma-zhs/,,,
Einwellenzerkleinerer (90 kW),ZERMA,ZERMA ZHS,90,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/einwellen-shredder-einwellen-zerkleinerer-zerma-zhs/,,,
Einwellenzerkleinerer (110 kW),ZERMA,ZERMA ZPS,110,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/einwellen-shredder-einwellen-zerkleinerer-zerma-zps/,,,
Einwellenzerkleinerer (150 kW),ZERMA,ZERMA ZXS,150,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/einwellen-shredder-einwellen-zerkleinerer-zerma-zxs/,,,
Einwellenzerkleinerer (180 kW),ZERMA,ZERMA ZHS,180,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Einwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/einwellen-shredder-einwellen-zerkleinerer-zerma-zhs/,,,
Zweiwellenzerkleinerer (11 kW),ZERMA,ZERMA ZM,11,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Zweiwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/2-wellen-shredder-2-wellen-zerkleinerer-zerma-typ-zm/,,,
Zweiwellenzerkleinerer (22 kW),ZERMA,ZERMA ZM,22,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Zweiwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/2-wellen-shredder-2-wellen-zerkleinerer-zerma-typ-zm/,,,
Zweiwellenzerkleinerer (30 kW),AMIS,AMIS ARS 1200,30,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Zweiwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/zweiwellen-shredder-zweiwellen-zerkleinerer-amis-ars-1200/,,,
Zweiwellenzerkleinerer (44 kW),MeWa,MeWa UC 85,44,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Zweiwellenschredder,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/2-wellen-shredder-typ-uc-85/,,,
Folienschreddermaschine mit beweglichem Trichter,ASG,DSY-600,30,kW,400,kg/h,0.02745,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Folienschredder,"PP, PE",,https://www.plasticrecyclingmachine.net/plastic-film-shredder-machine-with-moveable-hopper/,,,
Folienschreddermaschine mit beweglichem Trichter,ASG,DSY-800,37,kW,550,kg/h,0.02462181818,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Folienschredder,"PP, PE",,https://www.plasticrecyclingmachine.net/plastic-film-shredder-machine-with-moveable-hopper/,,,
Folienschreddermaschine mit beweglichem Trichter,ASG,DSY-1000,45,kW,750,kg/h,0.02196,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Folienschredder,"PP, PE",,https://www.plasticrecyclingmachine.net/plastic-film-shredder-machine-with-moveable-hopper/,,,
Folienschreddermaschine mit beweglichem Trichter,ASG,DSY-1200,75,kW,1000,kg/h,0.02745,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Folienschredder,"PP, PE",,https://www.plasticrecyclingmachine.net/plastic-film-shredder-machine-with-moveable-hopper/,,,
Folienschreddermaschine mit beweglichem Trichter,ASG,DSY-1400,90,kW,1500,kg/h,0.02196,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Folienschredder,"PP, PE",,https://www.plasticrecyclingmachine.net/plastic-film-shredder-machine-with-moveable-hopper/,,,
Folienschreddermaschine mit beweglichem Trichter,ASG,DSY-1500,110,kW,2000,kg/h,0.02013,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Folienschredder,"PP, PE",,https://www.plasticrecyclingmachine.net/plastic-film-shredder-machine-with-moveable-hopper/,,,
Folienschreddermaschine mit beweglichem Trichter,ASG,DSY-2000,160,kW,4000,kg/h,0.01464,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Folienschredder,"PP, PE",,https://www.plasticrecyclingmachine.net/plastic-film-shredder-machine-with-moveable-hopper/,,,
Folienschreddermaschne,ASG,ES-800,30,kW,400,kg/h,0.02745,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Folienschredder,,,https://praxistipps.chip.de/excel-zelleninhalte-tauschen_35960,,,
Folienschreddermaschne,ASG,ES-1000,37,kW,700,kg/h,0.01934571429,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Folienschredder,,,https://praxistipps.chip.de/excel-zelleninhalte-tauschen_35961,,,
Folienschreddermaschne,ASG,ES-1200,55,kW,1000,kg/h,0.02013,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Folienschredder,,,https://praxistipps.chip.de/excel-zelleninhalte-tauschen_35962,,,
Folienschreddermaschne,ASG,ES-1500,75,kW,1200,kg/h,0.022875,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Folienschredder,,,https://praxistipps.chip.de/excel-zelleninhalte-tauschen_35963,,,
Schredderanlagen für extrudierte Kunststoffrohre,ASG,CS-600,74,kW,1200,kg/h,0.02257,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für Hartkunststoffe,,,https://www.plasticrecyclingmachine.net/extruded-plastic-pipe-shredder-system/,,,
Schredderanlagen für extrudierte Kunststoffrohre,ASG,CS-800,90,kW,2000,kg/h,0.01647,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für Hartkunststoffe,,,https://www.plasticrecyclingmachine.net/extruded-plastic-pipe-shredder-system/,,,
Schredderanlagen für extrudierte Kunststoffrohre,ASG,CS-1000,110,kW,1500,kg/h,0.02684,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für Hartkunststoffe,,,https://www.plasticrecyclingmachine.net/extruded-plastic-pipe-shredder-system/,,,
Schredderanlagen für extrudierte Kunststoffrohre,ASG,CS-1500,150,kW,2000,kg/h,0.02745,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für Hartkunststoffe,,,https://www.plasticrecyclingmachine.net/extruded-plastic-pipe-shredder-system/,,,
Schreddermaschine für Hartkunststoffe,ASG,DS-800,33,kW,450,kg/h,0.02684,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für Hartkunststoffe,,,https://www.plasticrecyclingmachine.net/rigid-plastic-shredder-machine/,,,
Schreddermaschine für Hartkunststoffe,ASG,DS-1000,37,kW,800,kg/h,0.0169275,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für Hartkunststoffe,,,https://www.plasticrecyclingmachine.net/rigid-plastic-shredder-machine/,,,
Schreddermaschine für Hartkunststoffe,ASG,DS-1200,55,kW,1200,kg/h,0.016775,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für Hartkunststoffe,,,https://www.plasticrecyclingmachine.net/rigid-plastic-shredder-machine/,,,
Schreddermaschine für Hartkunststoffe,ASG,DS-1500,75,kW,1500,kg/h,0.0183,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für Hartkunststoffe,,,https://www.plasticrecyclingmachine.net/rigid-plastic-shredder-machine/,,,
Schreddermaschinen für elastische Kunststoffe und Gummi,ASG,BS-1000,45,kW,1000,kg/h,0.01647,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für elastische Kunststoffe und Gummi,,,https://www.plasticrecyclingmachine.net/elastic-plastic-rubber-shredder-machine/,,,
Schreddermaschinen für elastische Kunststoffe und Gummi,ASG,BS-2000,110,kW,3000,kg/h,0.01342,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für elastische Kunststoffe und Gummi,,,https://www.plasticrecyclingmachine.net/elastic-plastic-rubber-shredder-machine/,,,
Schreddermaschinen für elastische Kunststoffe und Gummi,ASG,BS-3000,220,kW,5000,kg/h,0.016104,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für elastische Kunststoffe und Gummi,,,https://www.plasticrecyclingmachine.net/elastic-plastic-rubber-shredder-machine/,,,
Schneidemühle,HERBOLD,SML 30/80,37,kW,650,kg/h,0.02083384615,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,Leichte bis mittlere Beanspruchung,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-sml-de.pdf,,,
Schneidemühle,HERBOLD,SML 45/100,75,kW,1500,kg/h,0.0183,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,Leichte bis mittlere Beanspruchung,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-sml-de.pdf,,,
